Catégorie : Toutes catégories

Mois,risk: (États-Unis)
2004-01,69
2004-02,72
2004-03,74
2004-04,77
2004-05,66
2004-06,72
2004-07,72
2004-08,69
2004-09,66
2004-10,78
2004-11,74
2004-12,69
2005-01,67
2005-02,73
2005-03,75
2005-04,71
2005-05,68
2005-06,66
2005-07,60
2005-08,64
2005-09,66
2005-10,71
2005-11,72
2005-12,64
2006-01,61
2006-02,67
2006-03,66
2006-04,69
2006-05,64
2006-06,60
2006-07,55
2006-08,57
2006-09,57
2006-10,62
2006-11,64
2006-12,56
2007-01,58
2007-02,64
2007-03,62
2007-04,64
2007-05,63
2007-06,60
2007-07,58
2007-08,59
2007-09,61
2007-10,67
2007-11,67
2007-12,56
2008-01,59
2008-02,65
2008-03,65
2008-04,65
2008-05,64
2008-06,58
2008-07,61
2008-08,55
2008-09,67
2008-10,70
2008-11,68
2008-12,62
2009-01,59
2009-02,70
2009-03,69
2009-04,69
2009-05,60
2009-06,58
2009-07,57
2009-08,57
2009-09,62
2009-10,70
2009-11,68
2009-12,60
2010-01,57
2010-02,65
2010-03,67
2010-04,70
2010-05,64
2010-06,61
2010-07,55
2010-08,52
2010-09,56
2010-10,61
2010-11,59
2010-12,54
2011-01,54
2011-02,64
2011-03,67
2011-04,63
2011-05,57
2011-06,55
2011-07,53
2011-08,52
2011-09,57
2011-10,61
2011-11,60
2011-12,49
2012-01,53
2012-02,62
2012-03,60
2012-04,63
2012-05,56
2012-06,51
2012-07,49
2012-08,48
2012-09,54
2012-10,59
2012-11,56
2012-12,47
2013-01,52
2013-02,59
2013-03,58
2013-04,61
2013-05,54
2013-06,49
2013-07,49
2013-08,48
2013-09,54
2013-10,61
2013-11,64
2013-12,53
2014-01,53
2014-02,63
2014-03,62
2014-04,65
2014-05,57
2014-06,56
2014-07,55
2014-08,51
2014-09,61
2014-10,66
2014-11,63
2014-12,53
2015-01,54
2015-02,62
2015-03,63
2015-04,66
2015-05,57
2015-06,56
2015-07,55
2015-08,52
2015-09,61
2015-10,67
2015-11,64
2015-12,57
2016-01,55
2016-02,65
2016-03,65
2016-04,66
2016-05,57
2016-06,53
2016-07,47
2016-08,49
2016-09,57
2016-10,61
2016-11,60
2016-12,54
2017-01,56
2017-02,65
2017-03,67
2017-04,68
2017-05,60
2017-06,53
2017-07,50
2017-08,52
2017-09,61
2017-10,66
2017-11,66
2017-12,55
2018-01,57
2018-02,65
2018-03,63
2018-04,67
2018-05,58
2018-06,54
2018-07,53
2018-08,52
2018-09,62
2018-10,66
2018-11,61
2018-12,54
2019-01,58
2019-02,65
2019-03,69
2019-04,80
2019-05,63
2019-06,58
2019-07,56
2019-08,53
2019-09,69
2019-10,69
2019-11,64
2019-12,57
2020-01,61
2020-02,73
2020-03,100
2020-04,86
2020-05,68
2020-06,68
2020-07,76
2020-08,80
2020-09,81
2020-10,79
2020-11,72
2020-12,77
